"NAME","CODE","CoverageDTP1","CoverageDTP3","VaccinePregnant","VaccineAdult","VaccineRisk","TimeLastShot","TimeFirstShot","GENERALM","GENERALY","VaccineGeneral","VaccineCode","OutbreakSize2022","OutbreakSize2023","OutbreakSize"
"Ukraine","UKR",78,73,0,0,0,77.94,8.66,4,0,4,"wP","Low","Low",0
"United Arab Emirates","ARE",98,96,0,1,1,806,8.66,4,2,6,"Both","Unavailable","High",2
"United Kingdom of Great Britain and Northern Ireland","GBR",97,92,0,0,0,173.2,8,3,0,3,"aP","Low","Low",0
"United Republic of Tanzania","TZA",91,88,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"United States of America","USA",98,94,1,1,0,572,8.66,4,2,6,"aP","Low","Unavailable",0
"Uruguay","URY",99,94,1,0,1,572,8.66,4,2,6,"Both","Low","Low",0
"Uzbekistan","UZB",99,99,0,0,0,69.28,8.66,4,0,4,"wP","Low","Low",0
"Vanuatu","VUT",83,68,0,0,0,14,6,3,0,3,"wP","Low","Low",0
"Venezuela (Bolivarian Republic of)","VEN",73,56,0,0,0,260,8.66,4,1,5,"wP","Unavailable","Unavailable",NA
"Viet Nam","VNM",92,91,0,0,0,77.94,8.66,4,0,4,"wP","Low","Low",0
"Wallis and Futuna","WLF",NA,NA,0,0,0,312,8.66,3,1,4,"aP","Unavailable","Unavailable",NA
"Yemen","YEM",85,74,0,0,0,312,6,4,1,5,"wP","Unavailable","Low",0
"Zambia","ZMB",86,82,0,0,0,14,6,3,0,3,"wP","Unavailable","Unavailable",NA
"Zimbabwe","ZWE",93,90,0,0,0,77.94,6,4,0,4,"wP","Resurgence","Resurgence",3
